City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Jamestown,42.097,-79.2353,-5.38,39,100,1.34,US,1644782563
Thompson,55.7435,-97.8558,-18.08,86,100,1.77,CA,1644782463
Hermanus,-34.4187,19.2345,23.28,83,26,7.25,ZA,1644782461
Moree,-29.4667,149.85,17.01,72,0,3.6,AU,1644782722
Katherine,-14.4667,132.2667,25.18,83,65,1.54,AU,1644782722
Punta Arenas,-53.15,-70.9167,10.06,50,40,13.89,CL,1644782723
Forbes,-33.3833,148.0167,19.4,64,100,2.3,AU,1644782723
Koshurnikovo,54.1667,93.3,-26.39,99,18,1.51,RU,1644782723
Saint Paul Harbor,57.79,-152.4072,2.73,70,0,0.0,US,1644782724
Porto Velho,-8.7619,-63.9039,29.03,70,40,2.06,BR,1644782698
Talaya,61.3833,152.75,-40.63,100,81,0.65,RU,1644782724
Christchurch,-43.5333,172.6333,12.78,89,75,3.09,NZ,1644782709
Dikson,73.5069,80.5464,-20.05,87,100,11.33,RU,1644782724
Albany,42.6001,-73.9662,-3.15,53,100,1.34,US,1644782634
Puerto Ayora,-0.7393,-90.3518,26.98,86,87,2.68,EC,1644782725
Okhotsk,59.3833,143.3,-26.0,80,1,4.93,RU,1644782606
Kaeo,-35.1,173.7833,16.85,92,80,2.36,NZ,1644782725
Baykit,61.67,96.37,-27.09,100,96,1.66,RU,1644782725
Hong Kong,22.2855,114.1577,15.69,87,100,4.02,HK,1644782319
Hobart,-42.8794,147.3294,15.92,82,75,4.63,AU,1644782726
Kapaa,22.0752,-159.319,24.51,72,40,6.17,US,1644782695
Saint-Philippe,-21.3585,55.7679,26.77,85,34,3.34,RE,1644782726
Bermeo,43.4209,-2.7215,16.86,65,100,9.88,ES,1644782726
Saint-Augustin,51.226,-58.6502,-16.71,75,1,5.09,CA,1644782524
Windhoek,-22.5594,17.0832,17.28,100,81,1.03,NA,1644782158
Maple Creek,49.9168,-109.4848,5.45,49,71,8.03,CA,1644782727
Mataura,-46.1927,168.8643,9.71,97,27,1.32,NZ,1644782727
Lelystad,52.5083,5.475,10.04,72,100,12.96,NL,1644782727
Lüderitz,-26.6481,15.1594,24.01,62,0,5.41,NA,1644782728
Touros,-5.1989,-35.4608,29.5,71,10,5.59,BR,1644782728
Busselton,-33.65,115.3333,17.25,75,0,5.14,AU,1644782728
Vaini,-21.2,-175.2,27.01,76,77,8.24,TO,1644782729
Lebu,-37.6167,-73.65,18.72,72,84,5.2,CL,1644782729
Prado,-17.3411,-39.2208,26.14,78,66,4.87,BR,1644782729
Ha Giang,22.8333,104.9833,14.21,95,92,0.54,VN,1644782730
Pevek,69.7008,170.3133,-27.46,98,100,3.97,RU,1644782730
La Ronge,55.1001,-105.2842,-10.97,84,100,4.65,CA,1644782550
Saint George,37.1041,-113.5841,21.31,18,0,0.89,US,1644782585
Gizo Government Station,-8.103,156.8419,27.02,79,65,1.99,SB,1644782730
Torres,-29.3353,-49.7269,24.9,93,88,2.62,BR,1644782697
Tuktoyaktuk,69.4541,-133.0374,-36.25,99,57,1.43,CA,1644782731
Mahébourg,-20.4081,57.7,27.36,84,86,6.06,MU,1644782457
Husavik,66.0449,-17.3389,-11.96,80,71,6.28,IS,1644782731
Port Alfred,-33.5906,26.891,22.72,84,96,4.56,ZA,1644782731
Cap-aux-Meules,47.3821,-61.8597,-8.48,70,100,7.38,CA,1644782732
Road Town,18.4167,-64.6167,24.44,78,24,9.55,VG,1644782591
Esperance,-33.8667,121.9,16.44,74,0,4.76,AU,1644782571
Saldanha,-33.0117,17.9442,18.35,90,0,9.02,ZA,1644782792
Kunshan,31.3776,120.9543,5.55,83,0,2.33,CN,1644782792
Kiryat Gat,31.61,34.7642,13.0,100,0,0.33,IL,1644782760
Hamada,34.8833,132.0833,6.11,77,100,6.61,JP,1644782793
Xichang,27.8964,102.2634,3.69,72,0,0.61,CN,1644782793
Souillac,-20.5167,57.5167,27.42,87,95,5.44,MU,1644782793
Vyazemskiy,47.5378,134.7525,-14.64,97,100,0.24,RU,1644782794
Vostok,46.4856,135.8833,-16.28,98,100,0.53,RU,1644782794
Nālūt,30.3333,10.85,13.74,25,43,5.02,LY,1644782701
Sørland,67.667,12.6934,0.92,59,100,11.55,NO,1644782794
Mount Gambier,-37.8333,140.7667,15.95,88,100,4.63,AU,1644782791
Pangkalanbuun,-2.6833,111.6167,23.71,96,100,0.96,ID,1644782795
Payo,-3.7508,103.6372,22.43,97,95,0.63,ID,1644782795
Butaritari,3.0707,172.7902,27.65,75,52,5.64,KI,1644782795
Sakata,38.9167,139.855,-0.81,76,95,2.87,JP,1644782795
Umluj,25.0213,37.2685,20.1,36,0,6.95,SA,1644782512
Ankang,32.68,109.0172,6.92,65,13,0.94,CN,1644782796
Jaguaribe,-5.8906,-38.6219,33.53,35,73,3.49,BR,1644782796
Langenzenn,49.5,10.8,5.96,72,0,4.12,DE,1644782796
Senanga,-16.1167,23.2667,21.72,74,69,0.69,ZM,1644782797
Yellowknife,62.456,-114.3525,-24.21,79,91,2.01,CA,1644782797
Boa Vista,2.8197,-60.6733,32.99,40,40,7.2,BR,1644782797
Oodweyne,9.4092,45.064,18.96,44,94,5.1,SO,1644782798
Seddon,-37.8068,144.8916,21.79,69,0,1.54,AU,1644782798
Lamar,33.6668,-95.5836,16.31,26,0,6.69,US,1644782798
Santa Rosa,14.3122,121.1114,25.62,89,100,3.16,PH,1644782735
Faya,18.3851,42.4509,13.29,41,69,1.78,SA,1644782799
Senno,59.5336,33.9167,-2.12,94,100,5.21,RU,1644782799
Olafsvik,64.8945,-23.7142,-1.22,93,100,4.87,IS,1644782799
Bethel,41.3712,-73.414,-0.45,70,100,5.81,US,1644782799
Bayjī,34.9311,43.487,13.41,35,2,3.52,IQ,1644782800
Shubarshi,48.5872,57.1869,-10.21,96,79,6.01,KZ,1644782800
Bayir,37.2687,28.2167,5.29,90,17,1.54,TR,1644782800
Tautira,-17.7333,-149.15,30.01,76,91,7.22,PF,1644782801
Qaanaaq,77.484,-69.3632,-22.12,89,100,1.32,GL,1644782801
Faanui,-16.4833,-151.75,27.12,74,100,6.83,PF,1644782802
Nikolskoye,59.7035,30.7861,1.04,89,100,5.79,RU,1644782802
Westport,41.1415,-73.3579,0.15,77,100,4.12,US,1644782582
Airai,-8.9266,125.4092,14.71,90,37,0.86,TL,1644782802
Hasaki,35.7333,140.8333,2.22,92,100,14.86,JP,1644782803
Kabo,7.6994,18.629,27.44,14,100,2.58,CF,1644782803
Arraial do Cabo,-22.9661,-42.0278,26.92,78,40,6.69,BR,1644782803
Acaraú,-2.8856,-40.12,28.04,72,8,6.8,BR,1644782804
Sola,-13.8833,167.55,27.84,77,100,8.39,VU,1644782804
Nioro,13.35,-15.75,28.57,10,27,3.32,GM,1644782804
Cardonal,20.6,-99.1333,4.89,91,100,2.37,MX,1644782805
Vila Franca do Campo,37.7167,-25.4333,16.22,74,2,2.38,PT,1644782805
Leningradskiy,69.3833,178.4167,-26.75,93,97,2.64,RU,1644782751
Norman Wells,65.282,-126.8329,-21.29,93,100,3.07,CA,1644782865
Jönköping,57.7814,14.1562,3.55,100,100,5.66,SE,1644782866
Katsuura,35.1333,140.3,3.39,97,100,13.84,JP,1644782866
Peniche,39.3558,-9.3811,13.71,95,10,7.84,PT,1644782572
Quepos,9.4236,-84.1652,34.33,61,6,3.02,CR,1644782866
Barra de Tecoanapa,16.5167,-98.75,29.51,50,66,5.46,MX,1644782867
George Town,5.4112,100.3354,26.61,87,40,0.0,MY,1644782451
New Norfolk,-42.7826,147.0587,15.72,71,90,0.44,AU,1644782867
Saskylakh,71.9167,114.0833,-27.0,86,26,1.44,RU,1644782867
Guánica,17.9716,-66.908,29.17,61,9,3.58,PR,1644782867
Gornopravdinsk,60.05,69.9,-14.75,96,100,1.43,RU,1644782868
Port Elizabeth,-33.918,25.5701,21.26,85,76,4.84,ZA,1644782747
Coquimbo,-29.9533,-71.3436,20.69,68,5,3.3,CL,1644782565
Rio Grande,-32.035,-52.0986,27.06,44,0,6.83,BR,1644782710
Ancud,-41.8697,-73.8203,26.24,72,24,2.71,CL,1644782868
Khalkhāl,37.6189,48.5258,-6.83,93,51,3.38,IR,1644782868
Tharād,24.3961,71.6267,15.71,36,0,1.16,IN,1644782869
Caravelas,-17.7125,-39.2481,26.52,76,90,4.35,BR,1644782869
Salalah,17.0151,54.0924,25.05,25,0,2.06,OM,1644782869
Port-Gentil,-0.7193,8.7815,27.19,78,100,2.25,GA,1644782870
Shahdad Kot,27.8477,67.9055,17.71,25,0,3.79,PK,1644782870
Tutóia,-2.7619,-42.2744,29.99,72,9,5.22,BR,1644782870
Iqaluit,63.7506,-68.5145,-26.84,75,100,1.34,CA,1644782871
Bambous Virieux,-20.3428,57.7575,27.34,83,81,6.13,MU,1644782871
Adrar,20.5022,-10.0711,18.9,19,46,4.55,MR,1644782871
Broome,42.2506,-75.833,-4.24,60,100,3.6,US,1644782871
Tūkrah,32.5341,20.5791,12.17,76,0,1.11,LY,1644782872
Normandin,48.8333,-72.5321,-18.22,73,100,1.1,CA,1644782872
Kamina,-8.7386,24.9906,18.35,94,100,3.28,CD,1644782873
Narasannapeta,18.4167,84.05,18.64,55,13,2.07,IN,1644782873
Rio Branco do Sul,-25.19,-49.3142,29.34,46,78,0.27,BR,1644782873
Rawson,-43.3002,-65.1023,32.08,21,0,8.89,AR,1644782874
Velagići,44.5572,16.7317,-1.54,87,3,1.93,BA,1644782874
Gbarnga,6.9956,-9.4722,27.94,57,96,2.69,LR,1644782874
Emba,48.8264,58.1442,-11.51,98,54,3.95,KZ,1644782875
Wallaceburg,42.593,-82.3885,-6.0,58,100,2.67,CA,1644782862
Aldan,58.6031,125.3894,-30.78,100,99,1.17,RU,1644782875
Goderich,43.7501,-81.7165,-7.83,75,100,0.47,CA,1644782446
Klaksvík,62.2266,-6.589,1.51,66,100,13.56,FO,1644782875
Pemangkat,1.1667,108.9667,25.72,86,97,0.78,ID,1644782876
Beloha,-25.1667,45.05,24.35,87,29,6.58,MG,1644782876
Belyy Yar,53.6039,91.3903,-32.06,83,87,1.0,RU,1644782876
Torbay,47.6666,-52.7314,5.42,65,95,4.02,CA,1644782599
Tura,25.5198,90.2201,12.44,70,0,2.05,IN,1644782660
Mumbai,19.0144,72.8479,23.99,73,20,1.54,IN,1644782831
Hearst,49.6835,-83.6665,-16.07,69,100,1.77,CA,1644782821
Chui,-33.6971,-53.4616,22.5,40,1,6.2,UY,1644782937
Yar-Sale,66.8333,70.8333,-24.46,94,100,4.06,RU,1644782937
Lima,-12.0432,-77.0282,25.22,84,0,6.17,PE,1644782777
Punta Alta,-38.8759,-62.0736,29.9,23,0,3.75,AR,1644782938
Bitung,1.4451,125.1824,22.47,83,52,1.58,ID,1644782938
Aden,12.7794,45.0367,24.76,69,24,3.53,YE,1644782939
Tilichiki,60.4667,166.1,-28.62,93,7,4.4,RU,1644782939
Buenos Aires,-34.6132,-58.3772,27.22,33,0,2.57,AR,1644782673
Puerto Lumbreras,37.5633,-1.8097,12.21,88,43,0.81,ES,1644782939
Izyum,49.2088,37.2485,-7.11,97,7,1.32,UA,1644782939
Sinnamary,5.3833,-52.95,26.0,86,67,4.28,GF,1644782940
Colac,-38.3333,143.5833,16.35,68,6,1.29,AU,1644782940
Centralia,46.7162,-122.9543,15.59,55,0,3.6,US,1644782940
Ostrovnoy,68.0531,39.5131,-9.08,66,100,7.74,RU,1644782941
Ambon City,-3.6954,128.1814,25.08,88,40,2.57,ID,1644782941
Genhe,50.7833,121.5167,-27.52,100,84,0.97,CN,1644782941
Chokurdakh,70.6333,147.9167,-20.14,96,100,4.69,RU,1644782942
Lavrentiya,65.5833,-171.0,-30.0,93,25,1.28,RU,1644782942
Saint-Joseph,-21.3667,55.6167,26.21,84,16,3.97,RE,1644782942
Guarujá,-23.9931,-46.2564,30.78,26,53,0.89,BR,1644782943
Nemuro,43.3236,145.575,-2.92,85,99,4.36,JP,1644782892
Wewak,-3.5534,143.6268,25.22,88,100,2.03,PG,1644782943
Meadow Lake,34.8014,-106.5436,13.43,18,0,2.6,US,1644782342
Bandarbeyla,9.4942,50.8122,24.02,65,16,8.21,SO,1644782943
Srednekolymsk,67.45,153.6833,-36.37,99,18,2.71,RU,1644782944
Pakokku,21.3333,95.1,17.77,39,8,1.28,MM,1644782944
Gambēla,8.25,34.5833,29.93,38,15,1.63,ET,1644782944
Cherskiy,68.75,161.3,-29.45,97,100,3.55,RU,1644782945
Alofi,-19.0595,-169.9187,27.94,74,40,4.63,NU,1644782945
Riberalta,-10.9833,-66.1,26.35,89,100,1.32,BO,1644782945
Kampot,10.6167,104.1833,27.03,81,14,2.26,KH,1644782946
The Valley,18.217,-63.0578,24.9,76,28,10.7,AI,1644782946
Paita,-5.0892,-81.1144,30.31,66,5,7.53,PE,1644782946
Tiksi,71.6872,128.8694,-24.97,93,11,5.29,RU,1644782947
Edd,13.9297,41.6925,25.34,76,57,1.88,ER,1644782947
Sambava,-14.2667,50.1667,24.85,86,49,1.57,MG,1644782947
Nouadhibou,20.931,-17.0347,18.98,70,100,9.43,MR,1644782947
Port Lincoln,-34.7333,135.8667,18.86,85,92,4.46,AU,1644782948
East London,-33.0153,27.9116,23.08,82,71,3.72,ZA,1644782717
Ponta do Sol,32.6667,-17.1,18.37,72,96,1.04,PT,1644782948
Elko,41.0002,-115.5012,12.81,41,0,2.68,US,1644782948
Coolum Beach,-26.5333,153.1,20.19,97,34,4.85,AU,1644782949
Cabedelo,-6.9811,-34.8339,29.37,71,10,5.09,BR,1644782949
Almaznyy,48.0448,40.045,-2.92,89,5,1.97,RU,1644783010
Jever,53.5833,7.9,8.34,61,100,9.68,DE,1644783010
Dhidhdhoo,6.8833,73.1,25.86,83,100,4.09,MV,1644783010
Krasnoural'sk,58.3638,60.0407,-8.91,96,100,2.29,RU,1644783010
Diffa,13.3154,12.6113,23.09,11,0,2.79,NE,1644783011
Kaitangata,-46.2817,169.8464,10.0,86,16,1.28,NZ,1644783011
Salinópolis,-0.6136,-47.3561,26.06,85,100,3.46,BR,1644783011
Anadyr,64.75,177.4833,-40.04,99,85,3.06,RU,1644783012
Qaqortoq,60.7167,-46.0333,-3.65,88,100,3.68,GL,1644782977
Havelock,34.8791,-76.9013,8.13,89,100,0.89,US,1644783012
Portland,45.5234,-122.6762,16.64,45,20,2.57,US,1644782582
Seoul,37.5683,126.9778,-0.31,74,21,1.2,KR,1644782722
Amapá,1.0,-52.0,26.19,93,100,1.57,BR,1644783012
Vanimo,-2.6741,141.3028,25.22,89,99,2.49,PG,1644783013
Nanortalik,60.1432,-45.2371,-1.65,80,100,4.21,GL,1644783013
Burns Lake,54.2331,-125.7533,2.27,87,100,0.5,CA,1644783013
Kalevala,65.2,31.1667,-1.72,97,100,4.62,RU,1644783014
São João da Barra,-21.6403,-41.0511,27.05,85,11,5.75,BR,1644783014
Kyaikto,17.3,97.0167,19.58,33,97,2.2,MM,1644783014
Sioux Lookout,50.1001,-91.917,-17.39,76,100,2.95,CA,1644783015
High Rock,26.6208,-78.2833,22.01,87,100,6.51,BS,1644783015
Aksu,41.1231,80.2644,-1.65,40,8,1.93,CN,1644783015
Teya,60.3778,92.6267,-27.23,100,22,1.51,RU,1644783016
Tsimmerbude,54.675,20.1347,2.03,73,100,7.39,RU,1644783016
Birobidzhan,48.8,132.95,-12.66,97,100,0.93,RU,1644783016
Rock Springs,41.5875,-109.2029,8.69,21,0,10.29,US,1644782961
Jalu,29.0331,21.5482,13.86,48,81,3.33,LY,1644783017
Nelson Bay,-32.7167,152.15,18.86,72,100,4.24,AU,1644783017
Karratha,-20.7377,116.8463,28.9,63,84,3.35,AU,1644783018
Liverpool,53.4106,-2.9779,8.97,90,40,4.63,GB,1644782772
Anloga,5.7947,0.8973,27.62,81,64,5.04,GH,1644783018
Pīpār,26.3856,73.5378,16.71,30,0,3.43,IN,1644783018
Mayumba,-3.432,10.6554,25.73,87,100,2.08,GA,1644783018
Rome,43.2128,-75.4557,-5.19,60,100,2.57,US,1644783019
Mapiripán,2.8892,-72.1256,35.12,30,100,4.07,CO,1644783019
Nanyamba,-10.6833,39.8333,22.45,98,72,1.45,TZ,1644783019
Nizhniy Odes,63.6445,54.856,-19.22,100,100,1.3,RU,1644783020
Tuatapere,-46.1333,167.6833,9.9,83,11,1.82,NZ,1644783020
Mazamari,-11.3258,-74.5308,28.72,60,94,0.88,PE,1644783020
Udachny,66.4167,112.4,-29.97,94,63,0.8,RU,1644783021
Srandakan,-7.9386,110.2506,16.52,93,100,2.64,ID,1644783021
São Filipe,14.8961,-24.4956,24.22,59,52,5.15,CV,1644783021
Registro,-24.4875,-47.8436,30.08,51,1,2.46,BR,1644782915
Longyearbyen,78.2186,15.6401,-9.09,86,75,1.54,SJ,1644783021
Yoichi,43.2039,140.7703,-0.68,89,99,8.53,JP,1644783022
Haines Junction,60.7522,-137.5108,-9.03,94,100,0.57,CA,1644783022
Kieta,-6.2167,155.6333,26.01,83,90,0.39,PG,1644783022
Beringovskiy,63.05,179.3167,-33.18,97,14,3.08,RU,1644783023
Berlevåg,70.8578,29.0864,-6.03,73,75,5.14,NO,1644783023
Opuwo,-18.0607,13.84,21.1,84,99,4.09,NA,1644783083
Tambacounda,13.7539,-13.7586,28.0,11,3,3.37,SN,1644783084
Kavieng,-2.5744,150.7967,27.08,78,96,3.04,PG,1644782971
Padang,-0.9492,100.3543,24.72,84,100,1.79,ID,1644783084
Maniitsoq,65.4167,-52.9,-16.1,87,100,7.03,GL,1644783084
Puerto Maldonado,-12.6,-69.1833,29.22,65,40,2.06,PE,1644783085
Znamenskoye,57.1281,73.8282,-14.13,97,100,1.78,RU,1644783085
Edirne,41.6772,26.556,2.24,84,56,2.8,TR,1644783029
Tabou,4.423,-7.3528,25.82,84,47,3.39,CI,1644783085
Okha,53.5739,142.9478,-24.16,96,19,4.11,RU,1644783085
Murray Bridge,-35.1167,139.2667,20.94,86,1,3.09,AU,1644783086
Sitka,57.0531,-135.33,2.94,75,100,0.0,US,1644782949
Nuuk,64.1835,-51.7216,-13.66,78,75,3.6,GL,1644783086
Sabaudia,41.3003,13.0282,12.72,89,100,2.91,IT,1644783086
Altagracia de Orituco,9.8601,-66.3814,30.1,42,81,4.72,VE,1644783087
Manyana,-23.4,21.7167,26.35,32,94,2.44,BW,1644783087
Margate,51.3813,1.3862,9.98,86,100,5.81,GB,1644782935
Gejiu,23.306,103.1635,4.46,93,35,1.48,CN,1644783087
Salaga,8.5508,-0.5188,29.98,46,5,2.0,GH,1644783088
Pachino,36.7186,15.0907,12.02,82,34,3.38,IT,1644783088
Vao,-22.6667,167.4833,26.43,85,100,3.51,NC,1644783088
Zajas,41.6072,20.9383,4.64,99,100,1.28,MK,1644783089
Donji Milanovac,44.4627,22.1523,2.64,68,88,3.12,RS,1644783089
Sangamner,19.5667,74.2167,19.7,49,0,2.3,IN,1644783089
Praia da Vitória,38.7333,-27.0667,14.31,70,97,3.16,PT,1644782969
Merke,42.8728,73.1786,-0.85,78,100,2.43,KZ,1644783090
Dingle,10.9995,122.6711,23.49,93,91,2.85,PH,1644782969
Sotouboua,8.5667,0.9833,28.01,48,76,1.93,TG,1644783090
Bilma,18.6853,12.9164,21.02,11,0,2.95,NE,1644783044
Douglas,41.3,-96.167,-2.44,44,0,4.12,US,1644782931
Lakefield,43.6775,-95.1717,-9.5,64,0,4.63,US,1644783090
Almargem do Bispo,38.8491,-9.2668,13.09,87,40,4.12,PT,1644783091
Ruíz,21.95,-105.15,32.78,9,97,1.21,MX,1644783091
Acapulco de Juárez,16.8634,-99.8901,30.9,62,20,3.6,MX,1644782868
Wajima,37.4,136.9,3.83,67,85,8.94,JP,1644783091
Mangai,-4.05,19.5333,20.86,97,100,0.65,CD,1644783092
Albert Lea,43.648,-93.3683,-13.34,66,0,0.0,US,1644782916
Constitución,-35.3333,-72.4167,19.99,70,53,4.16,CL,1644783092
Vuktyl,63.8567,57.3094,-15.4,98,100,1.54,RU,1644783092
Codrington,-38.2667,141.9667,15.48,89,61,3.03,AU,1644783092
Tomatlán,19.9333,-105.25,34.66,23,100,4.41,MX,1644783093
Emmen,52.7792,6.9069,9.29,73,100,8.94,NL,1644783093
Sangar,63.9242,127.4739,-38.44,100,46,0.96,RU,1644783093
Uarini,-2.99,-65.1083,30.97,89,89,1.59,BR,1644783094
Qeshm,26.9581,56.2719,15.93,65,99,2.9,IR,1644783094
Gorontalo,0.5412,123.0595,22.83,93,97,0.83,ID,1644783094
Kaniama,-7.5667,24.1833,19.23,98,100,1.75,CD,1644783154
Junín,-34.5838,-60.9433,27.26,24,0,2.13,AR,1644783052
Barra Velha,-26.6322,-48.6847,31.16,55,2,4.25,BR,1644783155
Bud,39.447,-86.1758,-2.92,83,100,3.97,US,1644783155
Luau,-10.7073,22.2247,17.45,93,100,0.68,AO,1644783155
Bulgan,48.8125,103.5347,-26.23,99,100,0.62,MN,1644783156
Briançon,44.9,6.65,-0.39,90,48,1.76,FR,1644783156
Fortuna,40.5982,-124.1573,9.19,54,84,1.71,US,1644783116
Buy,58.4786,41.53,-4.4,96,100,3.36,RU,1644783156
Brae,60.3964,-1.353,3.95,88,100,5.03,GB,1644783157
Taywarah,33.35,64.4167,-6.03,80,94,1.7,AF,1644783068
Buraidah,26.326,43.975,12.93,27,0,3.06,SA,1644782975
Aykhal,66.0,111.5,-22.65,50,15,0.43,RU,1644783157
Agirish,61.9247,63.0231,-20.32,100,94,0.81,RU,1644783157
Kudahuvadhoo,2.6708,72.8944,27.53,78,100,4.84,MV,1644783158
Chernyshevskiy,63.0128,112.4714,-31.06,100,66,0.68,RU,1644783158
Flinders,-34.5833,150.8552,17.81,89,100,2.24,AU,1644783158
Zhaotong,27.3167,103.7167,1.53,92,10,1.9,CN,1644783158
Mil'kovo,54.7167,158.6167,-16.48,98,100,0.96,RU,1644783159
Marovoay,-16.1,46.6333,24.7,91,63,1.07,MG,1644783159
Porgera,-5.4667,143.2,6.93,99,100,0.16,PG,1644783159
Cururupu,-1.8283,-44.8683,27.69,70,45,2.43,BR,1644783160
Nara,34.6851,135.8049,6.6,81,100,1.79,JP,1644783160
Imeni Babushkina,59.7573,43.1285,-9.95,95,100,2.51,RU,1644783160
Parrsboro,45.4001,-64.332,-2.82,53,100,3.58,CA,1644783160
Haverfordwest,51.8017,-4.9691,7.97,92,100,1.79,GB,1644783161
Tomigusuku,26.185,127.675,17.87,94,100,10.8,JP,1644783161
Xining,36.6167,101.7667,-12.07,75,14,1.05,CN,1644783161
Vallenar,-28.5708,-70.7581,29.37,25,0,4.76,CL,1644783162
Hofn,64.2539,-15.2082,-5.88,59,16,4.79,IS,1644783162
Omiš,43.4447,16.6886,8.96,70,19,0.85,HR,1644783162
Mumbwa,-14.9783,27.0619,17.71,93,60,1.33,ZM,1644783163
Sayyan,15.1718,44.3244,11.89,47,12,1.26,YE,1644783163
Kembé,4.6228,21.8865,25.71,24,100,0.81,CF,1644783163
Itupiranga,-5.1347,-49.3267,29.18,91,100,0.5,BR,1644783164
Upernavik,72.7868,-56.1549,-21.55,96,100,6.32,GL,1644783164
Kumul,42.8,93.45,-3.17,51,73,2.5,CN,1644783164
Bosaso,11.2842,49.1816,23.07,72,13,1.14,SO,1644783165
Rafaela,-31.2503,-61.4867,31.67,15,0,0.45,AR,1644783165
Karasjok,69.4719,25.5112,-10.94,96,100,1.14,NO,1644783165
Anapskaya,44.89,37.38,2.63,74,20,5.0,RU,1644783166
Tocopilla,-22.092,-70.1979,22.98,66,90,3.89,CL,1644783113
Cockburn Town,21.4612,-71.1419,25.49,78,0,7.12,TC,1644783166
Muros,42.7762,-9.0603,11.16,72,9,8.17,ES,1644783166
Khovd,48.0056,91.6419,-25.15,81,15,1.38,MN,1644783227
Atasū,48.6814,71.6433,-3.33,96,100,5.46,KZ,1644783227
Elk City,35.412,-99.4043,12.38,21,0,1.78,US,1644783080
Clyde River,70.4692,-68.5914,-30.87,69,75,5.14,CA,1644783227
Lázaro Cárdenas,17.9583,-102.2,29.86,42,64,4.25,MX,1644783228
Wundanyi,-3.4019,38.364,19.71,62,100,1.3,KE,1644783228
Bantou,26.2151,117.4893,8.68,95,100,0.99,CN,1644783228
Huarmey,-10.0681,-78.1522,25.17,69,5,5.55,PE,1644783229
